Judul,Penulis,Terbit
Modified firefly algorithm using smallest position value for job-shop scheduling problems,"M Liebenlito, N Inayah, AN Rahmah, A Widiatmoko","Proceedings of the International Conference on Mathematics and Islam, 23-27, 2018"
Modified self-attentive bi-directional long-short term memory for detecting clickbait in Indonesian news headline,"M Liebenlito, I Ivansyah, MY Wijaya, RF Suwarman","AIP Conference Proceedings 3049 (1), 2024"
Deteksi Clickbait pada Judul Berita Online Berbahasa Indonesia Menggunakan FastText,"M Liebenlito, AA Yesinta, MIS Musti","Journal of Applied Computer Science and Technology 5 (1), 56-62, 2024"
Solusi Model Navier Stokes Korteweg dengan Syarat Batas Slip di Half-Space Berdimensi 3,"A Salsabila, S Inna, M Liebenlito, R Purnomowati","MAJAMATH: Jurnal Matematika dan Pendidikan Matematika 7 (1), 24-43, 2024"
Analisis Tweet Politik-Keagamaan pada Hasil Pemilihan Presiden Indonesia tahun 2014 dan 2019: Sebuah Studi Eksploratif,"PD Zain, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 13 (1), 2024"
"Perbandingan Deteksi Alzheimer: ViT, CNN dan ViT dengan Bobot pada Citra Medis","AN Salsabila, M Liebenlito, DU Zulkifli","Indonesian Journal of Computer Science 13 (1), 2024"
Active learning on Indonesian Twitter sentiment analysis using uncertainty sampling,"M Liebenlito, N Inayah, E Choerunnisa, TE Sutanto, S Inna","Journal of Applied Data Sciences 5 (1), 114-121, 2024"
Perbandingan Model Klasifikasi Transfer Learning Convolutional Neural Network Tumor Otak menggunakan Citra Magnetic Resonance Imaging,"N Pratama, M Liebenlito, Y Irene","Jurnal Sehat Indonesia (JUSINDO) 6 (01), 308-318, 2024"
Efektivitas Variabel Demografi Pengguna Twitter dalam Prediksi Pilpres Indonesia 2014 dan 2019,"MM Effendy, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 12 (6), 2023"
Relation Classification in Scientific Article Abstracts using SciBERT with Entity Marker,"N Inayah, M Liebenlito, N Fitriyati, M Manaqib, N Aryanti","2023 11th International Conference on Cyber and IT Service Management (CITSM …, 2023"
Deteksi Kepribadian MBTI pada Diskusi Agama Islam di Twitter Indonesia 2009-2019,"NA Fitri, TE Sutanto, M Liebenlito","Indonesian Journal of Computer Science 12 (5), 2023"
IMPLEMENTASI METODE VIOLA JONES UNTUK MENDETEKSI WAJAH MANUSIA,"M Mahmudi, K Kusrini","Jurnal Informa: Jurnal Penelitian dan Pengabdian Masyarakat 5 (1), 54-60, 2019"
"ANALISIS KETELITIAN DEM ASTER GDEM, SRTM, DAN LIDAR UNTUK IDENTIFIKASI AREA PERTANIAN TEBU BERDASARKAN PARAMETER KELERENGAN (Studi Kasus: Distrik Tubang, Kabupaten Merauke …","M Mahmudi, S Subiyanto, B Darmo Yuwono, Y Prasetyo, A Sukmono","Universitas Diponegoro, 2015"
The Effect of Sharia Governance and Customer Relationship Marketing on Muzakki Loyalty,"M Mahmudi, RL Prastmawati","AKRUAL: Jurnal Akuntansi 12 (1), 1-17, 2020"
Fit of the 2011 Indonesian Mortality Table to Gompertz's and Makeham's Law using Maximum Likelihood Estimation,"DA Putra, N Fitriyati, M Mahmudi","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 68-76, 2019"
Eksplorasi Jenis–Jenis Zingiberaceae Di Cagar Alam Raya Pasi Gunung Poteng Kota Singkawang Kalimantan Barat,"M Mahmudi, MS Anwari, W Wahdina","Jurnal Hutan Lestari 8 (2), 2020"
Calculation and Management of Premium Funds in Sharia Insurance based on Langevin Type Model of Return on Investment,"K Khotimah, M Mahmudi, N Fitriyati","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 128-135, 2019"
TANGGAP LAJU PERTUMBUHAN RELATIF DAN LAJU ASIMILASI BERSIH TANAMAN PADI PADA PENGATURAN KADAR AIR TANAH YANG BERBEDA DENGAN PEMBERIAN MIKORIZA,"M Mahmudi, I Sasli, TH Ramadhan","Jurnal Pertanian Agros 24 (2), 988-996, 2022"
Analisis Perbandingan Metode AHP dan AHP-Electre Pada Seleksi Karyawan (Studi Kasus PT. Gawih Jaya Banjarmasin),"M Mahmudi, K Kusrini, H Henderi","Seminar Nasional Teknologi Komputer & Sains (SAINTEKS) 1 (1), 2019"
Analisis usabilitas sistem informasi driver PT. Gojek Indonesia berdasarkan pendekatan evaluasi usability heuristik,"D Hardan, AP Kristianto, M Mahmudi, H Henderi","Semnasteknomedia Online 6 (1), 1-8-43, 2018"
Implementasi Metode Gap Kompetensi Untuk Pemilihan Jenis Tanaman,"M Mahmudi, K Kusrini","Jurnal Informa: Jurnal Penelitian dan Pengabdian Masyarakat 5 (3), 18-22, 2019"
Sistem Validator Kecelakaan Lalu Lintas Menggunakan Black Box pada Kendaraan,"A Srirahayu, AP Kristianto, DH Gutama, M Mahmudi, NAR Rais","DutaCom 13 (1), 73-84, 2017"
The Analysis of Entrepreneurial Leaders on Local Government Performance: Indonesian Evidence,M MAHMUDI,"The Indonesian Journal of Accounting Research 13 (3), 2010"
Perbandingan Metode C-Means dan Fuzzy C-Means Pada Pengelompokan Kabupaten/Kota Di Kalimantan Berdasarkan Indikator IPM Tahun 2019,"M Mahmudi, R Goejantoro, FDT Amijaya","EKSPONENSIAL 12 (2), 193-200, 2021"
APLIKASI MODEL GSTAR-I DENGAN PENDEKATAN INVERS MATRIKS AUTOKOVARIANS (IMAk) PADA PRAKIRAAN CURAH HUJAN DI PROVINSI BANTEN,"S Maliska, N Fitriyati","LOGIK@ 7 (1), 73-85, 2017"
ANALISIS LAJU PREDIKSI INFLASI DI INDONESIA: PERBANDINGAN MODEL GARCH/ARCH DENGAN LONG SHORT TERM MEMORY,"A Mutiara, N Fitriyati, M Mahmudi","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
"ANALISIS MANAJEMEN KEPEMIMPINAN TERHADAP MOTIVASI KERJA KARYAWAN PADA PT. LAZ COAL MANDIRI (LCM) KINTAP, TANAH LAUT","M Mahmudi, S Syahrani, R Rina","Proceeding: Islamic University of Kalimantan, 2023"
ANALISIS REGRESI LOGISTIK ORDINAL TERHADAP FAKTOR-FAKTOR YANG MEMPENGARUHI WAKTU TUNGGU KERJA ALUMNI MATEMATIKA FST UIN SYARIF HIDAYATULLAH JAKARTA,"S Inna, D Mariana, M Mahmudi, M Manaqib","SIGMA 8 (2), 75-83, 2023"
Forecasting Indonesian inflation using a hybrid ARIMA-ANFIS,"N Fitriyati, M Mahmudi, MY Wijaya, M Maysun","Desimal: Jurnal Matematika 5 (3), 289-304, 2022"
INTERPOLASI KANDUNGAN FLUORIDA PADA AIR TANAH DI DKI JAKARTA MENGGUNAKAN METODE MEDIAN POLISH KRIGING,"E Nurmaidah, M Mahmudi","LOGIK@ 8 (2), 103-114, 2018"
PENDETEKSIAN KRISIS KEUANGAN DI INDONESIA MENGGUNAKAN MODEL MARKOV SWITCHING AUTOREGRESSIVE CONDITIONAL HETEROSKEDASTICITY (SWARCH) BERDASARKAN INDIKATOR HARGA MINYAK MENTAH,EP Machfudhoh,"LOGIK@ 7 (2), 112-121, 2017"
Translator's Interference in Using Punctuation Marks in Translating Jakarta Undercover from Indonesian to English,M Mahmudi,"STBA LIA, 2006"
Abelian property of the category of U-complexes,"G Elfiyanti, I Muchtadi-Alamsyah, D Nasution, U Amartiwi","International Journal of Mathematical Analysis 10 (17), 849-853, 2016"
